scraped_at,source,property_type,district_name,listing_count,total_market_value_czk,average_asking_price_czk,median_asking_price_czk,median_price_per_m2_czk,average_area_m2
2026-04-23 13:31:01.178533,sreality,byty,Vysočany,159,1670031581.0,11208265.644295301,10300000.0,171190.48,67.9245283018868
2026-04-23 13:31:01.178533,sreality,byty,Vyšehrad,1,8970000.0,8970000.0,8970000.0,190851.06,47.0
2026-04-23 13:31:01.178533,sreality,byty,Zbraslav,27,258817682.0,9954526.23076923,9040000.0,146027.775,74.66666666666667
2026-04-23 13:31:01.178533,sreality,byty,Zličín,16,141089000.0,10077785.714285715,9540000.0,158329.55,70.75
2026-04-23 13:31:01.178533,sreality,byty,Záběhlice,85,910583528.0,10840280.095238095,9090000.0,143719.15999999997,76.12941176470588
2026-04-23 13:31:01.178533,sreality,byty,Újezd nad Lesy,6,62769000.0,10461500.0,9990000.0,110007.32500000001,91.5
2026-04-23 13:31:01.178533,sreality,byty,Újezd u Průhonic,4,44580000.0,11145000.0,11320000.0,145154.95,78.5
2026-04-23 13:31:01.178533,sreality,byty,Čakovice,36,360075756.0,10287878.742857143,9672929.0,160370.89,66.19444444444444
2026-04-23 13:31:01.178533,sreality,byty,Černý Most,39,295491244.0,7576698.564102564,7790000.0,126057.69,64.6923076923077
2026-04-23 13:31:01.178533,sreality,byty,Čimice,8,86399000.0,10799875.0,11120000.0,141489.08000000002,75.875
2026-04-23 13:31:01.178533,sreality,byty,Ďáblice,5,40719459.0,8143891.8,8290404.0,172244.9,50.4
2026-04-23 13:31:01.178533,sreality,byty,Řeporyje,3,36564400.0,12188133.333333334,11634400.0,157221.62,70.0
2026-04-23 13:31:01.178533,sreality,byty,Řepy,25,267588690.0,10703547.6,9390000.0,142978.72,72.04
2026-04-23 13:31:01.178533,sreality,byty,Šeberov,1,15999999.0,15999999.0,15999999.0,118518.51,135.0
2026-04-23 13:31:01.178533,sreality,byty,Štěrboholy,4,42210405.0,10552601.25,10770202.5,163001.95,83.75
